Library,Time (s),multiple,num_partitions
dask* (slightly optimized),12.115423202514648,5.607111141712613,50
dask_on_ray* (slightly optimized),11.077775716781616,5.126879895872505,50
modin* (slightly optimized),37.42546343803406,17.32079263922065,50
modin_on_dask* (slightly optimized),70.83132290840149,32.781281612969856,50
dask_sql,15.90235424041748,7.359731983807097,50
duckdb,2.160724639892578,1.0,50
polars,3.542933464050293,1.639696886238328,50
spark,10.882957458496094,5.036716505920508,50
vaex,22.69021964073181,10.501208354739672,50
dask* (slightly optimized),14.930413722991943,6.876905933969828,25
dask_on_ray* (slightly optimized),11.336428165435793,5.221526447110775,25
modin_on_dask* (slightly optimized),97.83190703392027,45.06109706639333,25
dask_sql,16.523664712905884,7.610752791138288,25
duckdb,2.1710946559906006,1.0,25
polars,3.5511229038238525,1.6356370709242936,25
spark,4.495366334915161,2.0705528994377587,25
vaex,24.54678678512573,11.30617991131567,25
dask* (slightly optimized),13.133967161178589,5.932533510321924,10
modin_on_dask* (slightly optimized),46.88169884681702,21.176179749531567,10
dask_sql,17.29116678237915,7.810315429464228,10
duckdb,2.21388840675354,1.0,10
polars,3.738250732421875,1.6885452405903645,10
spark,4.492801189422607,2.029371117223961,10
vaex,27.647244691848755,12.488093170148016,10
dask* (slightly optimized),22.516345739364624,10.129978205192977,5
modin_on_dask* (slightly optimized),44.61458086967468,20.07185078231869,5
dask_sql,24.872813940048218,11.19014008894049,5
duckdb,2.2227437496185303,1.0,5
polars,4.401258707046509,1.9801017133899748,5
spark,4.496330976486206,2.0228741964780563,5
vaex,31.95108675956726,14.37461550169728,5
modin_on_dask* (slightly optimized),48.99581336975098,22.153963775677024,1
duckdb,2.2116048336029053,1.0,1
polars,11.797818660736084,5.334505731530874,1
spark,6.997451305389404,3.163969981920288,1
vaex,67.31483912467957,30.43710074327229,1
